year,state,county,county_code,county_population,annual_adj_deaths,annual_crude_rate_10k,suppressed
2019,OK,Carter,40019,48111,347,72.12487788655402,FALSE
2019,OK,Cherokee,40021,48657,297,61.039521548800785,FALSE
2019,OK,Choctaw,40023,14672,131,89.28571428571428,FALSE
2019,OK,Choctaw,40023,14672,131,89.28571428571428,TRUE
2019,OK,Cimarron,40025,2137,21,98.26860084230229,TRUE
2019,OK,Cleveland,40027,284014,1299,45.7371819699029,FALSE
2019,OK,Coal,40029,5495,57,103.73066424021839,TRUE
2019,OK,Coal,40029,5495,57,103.73066424021839,FALSE
2019,OK,Comanche,40031,120749,611,50.60083313319365,FALSE
2019,OK,Cotton,40033,5666,49,86.4807624426403,TRUE
2019,OK,Craig,40035,14142,125,88.38919530476593,TRUE
2019,OK,Craig,40035,14142,125,88.38919530476593,FALSE
2019,OK,Creek,40037,71522,509,71.16691367691061,FALSE
2019,OK,Custer,40039,29003,217,74.81984622280453,FALSE
2019,OK,Delaware,40041,43009,336,78.12318351972843,FALSE
2019,OK,Dewey,40043,4891,40,81.78286648947045,TRUE
2019,OK,Ellis,40045,3859,25,64.7836227001814,FALSE
2019,OK,Ellis,40045,3859,25,64.7836227001814,TRUE
2019,OK,Garfield,40047,61056,493,80.74554507337525,FALSE
2019,OK,Garvin,40049,27711,198,71.45177005521273,FALSE
2019,OK,Grady,40051,55834,362,64.8350467457105,FALSE
2019,OK,Grant,40053,4333,49,113.08562197092084,TRUE
2019,OK,Grant,40053,4333,49,113.08562197092084,FALSE
2019,OK,Greer,40055,5712,40,70.0280112044818,TRUE
2019,OK,Harmon,40057,2653,20,75.38635506973237,TRUE
2019,OK,Harmon,40057,2653,20,75.38635506973237,FALSE
2019,OK,Harper,40059,3688,28,75.92190889370933,TRUE
2019,OK,Haskell,40061,12627,116,91.86663498851668,FALSE
2019,OK,Haskell,40061,12627,116,91.86663498851668,TRUE
2019,OK,Hughes,40063,13279,107,80.57835680397619,TRUE
2019,OK,Hughes,40063,13279,107,80.57835680397619,FALSE
2019,OK,Jackson,40065,24530,156,63.59559722788423,FALSE
2019,OK,Jackson,40065,24530,156,63.59559722788423,TRUE
2019,OK,Jefferson,40067,6002,43,71.6427857380873,TRUE
2019,OK,Jefferson,40067,6002,43,71.6427857380873,FALSE
2019,OK,Johnston,40069,11085,80,72.16959855660802,TRUE
2019,OK,Johnston,40069,11085,80,72.16959855660802,FALSE
2019,OK,Kay,40071,43538,376,86.3613395195002,FALSE
2019,OK,Kingfisher,40073,15765,119,75.4836663495084,FALSE
2019,OK,Kingfisher,40073,15765,119,75.4836663495084,TRUE
2019,OK,Kiowa,40075,8708,110,126.32062471290766,TRUE
2019,OK,Kiowa,40075,8708,110,126.32062471290766,FALSE
2019,OK,Latimer,40077,10073,70,69.49270326615705,TRUE
2019,OK,Le Flore,40079,49853,399,80.03530379315187,FALSE
2019,OK,Lincoln,40081,34877,208,59.63815695157267,FALSE
2019,OK,Logan,40083,48011,242,50.40511549436587,FALSE
2019,OK,Love,40085,10253,84,81.92724080756851,TRUE
2019,OK,Love,40085,10253,84,81.92724080756851,FALSE
2019,OK,McClain,40087,40474,204,50.40272767702723,FALSE
2019,OK,McCurtain,40089,32832,242,73.70857699805067,FALSE
2019,OK,McIntosh,40091,19596,163,83.18024086548276,FALSE
2019,OK,McIntosh,40091,19596,163,83.18024086548276,TRUE
2019,OK,Major,40093,7629,57,74.7149036570979,TRUE
2019,OK,Marshall,40095,16931,112,66.15084755773434,FALSE
2019,OK,Marshall,40095,16931,112,66.15084755773434,TRUE
2019,OK,Mayes,40097,41100,302,73.47931873479318,FALSE
2019,OK,Murray,40099,14073,140,99.48127620265757,FALSE
2019,OK,Murray,40099,14073,140,99.48127620265757,TRUE
2019,OK,Muskogee,40101,67997,621,91.32755856876038,FALSE
2019,OK,Noble,40103,11131,92,82.65205282544247,TRUE
2019,OK,Noble,40103,11131,92,82.65205282544247,FALSE
2019,OK,Nowata,40105,10076,75,74.43429932512902,TRUE
2019,OK,Nowata,40105,10076,75,74.43429932512902,FALSE
2019,OK,Okfuskee,40107,11993,127,105.89510547819562,TRUE
2019,OK,Okfuskee,40107,11993,127,105.89510547819562,FALSE
2019,OK,Oklahoma,40109,797434,4665,58.50013919647268,FALSE
2019,OK,Okmulgee,40111,38465,317,82.41258286754193,FALSE
2019,OK,Osage,40113,46963,289,61.53780635819688,FALSE
2019,OK,Ottawa,40115,31127,278,89.3115301827995,FALSE
2019,OK,Pawnee,40117,16376,119,72.66731802638007,FALSE
2019,OK,Pawnee,40117,16376,119,72.66731802638007,TRUE
2019,OK,Payne,40119,81784,381,46.58612931624767,FALSE
2019,OK,Pittsburg,40121,43654,349,79.94685481284647,FALSE
2019,OK,Pontotoc,40123,38284,236,61.644551248563374,FALSE
2019,OK,Pottawatomie,40125,72592,510,70.25567555653515,FALSE
2019,OK,Pushmataha,40127,11096,84,75.70295602018746,TRUE
2019,OK,Pushmataha,40127,11096,84,75.70295602018746,FALSE
2019,OK,Roger Mills,40129,3583,20,55.8191459670667,TRUE
2019,OK,Roger Mills,40129,3583,20,55.8191459670667,FALSE
2019,OK,Rogers,40131,92459,560,60.56738662542316,FALSE
2019,OK,Seminole,40133,24258,220,90.6917305631132,FALSE
2019,OK,Sequoyah,40135,41569,294,70.72578123120594,FALSE
2019,OK,Stephens,40137,43143,369,85.52951811417842,FALSE
2019,OK,Texas,40139,19983,130,65.05529700245208,FALSE
2019,OK,Texas,40139,19983,130,65.05529700245208,TRUE
2019,OK,Tillman,40141,7250,47,64.82758620689656,TRUE
2019,OK,Tillman,40141,7250,47,64.82758620689656,FALSE
2019,OK,Tulsa,40143,651552,3940,60.47099847748146,FALSE
2019,OK,Wagoner,40145,81289,381,46.86981018341965,FALSE
2019,OK,Washington,40147,51527,414,80.34622625031537,FALSE
2019,OK,Washita,40149,10916,100,91.60864785635765,FALSE
2019,OK,Washita,40149,10916,100,91.60864785635765,TRUE
2019,OK,Woods,40151,8793,101,114.86409644035028,FALSE
2019,OK,Woods,40151,8793,101,114.86409644035028,TRUE
2019,OK,Woodward,40153,20211,142,70.25876997674534,FALSE
2019,OK,Woodward,40153,20211,142,70.25876997674534,TRUE
2020,OK,Adair,40001,21955,109,49.64700523798679,FALSE
2020,OK,Adair,40001,21955,109,49.64700523798679,TRUE
2020,OK,Alfalfa,40003,5718,38,66.4568030779993,TRUE
2020,OK,Atoka,40005,13912,90,64.69235192639448,TRUE
2020,OK,Atoka,40005,13912,90,64.69235192639448,FALSE
2020,OK,Beaver,40007,5207,26,49.93278279239485,TRUE
2020,OK,Beaver,40007,5207,26,49.93278279239485,FALSE
2020,OK,Beckham,40009,21468,154,71.73467486491522,FALSE
2020,OK,Beckham,40009,21468,154,71.73467486491522,TRUE
2020,OK,Blaine,40011,9447,77,81.507356832857,TRUE
2020,OK,Blaine,40011,9447,77,81.507356832857,FALSE
2020,OK,Bryan,40013,48998,327,66.73741785378995,FALSE
2020,OK,Bryan,40013,48998,327,66.73741785378995,TRUE
2020,OK,Caddo,40015,28684,213,74.25742574257426,FALSE
2020,OK,Caddo,40015,28684,213,74.25742574257426,TRUE
2020,OK,Canadian,40017,153192,624,40.73319755600814,FALSE
2020,OK,Canadian,40017,153192,624,40.73319755600814,TRUE
2020,OK,Carter,40019,48353,351,72.59115256550783,FALSE
2020,OK,Carter,40019,48353,351,72.59115256550783,TRUE
2020,OK,Cherokee,40021,49019,283,57.73271588567698,FALSE
2020,OK,Cherokee,40021,49019,283,57.73271588567698,TRUE
2020,OK,Choctaw,40023,14646,118,80.56807319404615,FALSE
2020,OK,Choctaw,40023,14646,118,80.56807319404615,TRUE
2020,OK,Cimarron,40025,2145,8,37.2960372960373,FALSE
2020,OK,Cimarron,40025,2145,8,37.2960372960373,TRUE
2020,OK,Cleveland,40027,287066,1241,43.2304766151338,FALSE
2020,OK,Cleveland,40027,287066,1241,43.2304766151338,TRUE
2020,OK,Coal,40029,5587,48,85.91372829783425,TRUE
2020,OK,Comanche,40031,121099,585,48.30758305188317,FALSE
2020,OK,Comanche,40031,121099,585,48.30758305188317,TRUE
2020,OK,Cotton,40033,5676,48,84.56659619450318,TRUE
2020,OK,Cotton,40033,5676,48,84.56659619450318,FALSE
2020,OK,Craig,40035,14194,96,67.63421163872059,TRUE
2020,OK,Craig,40035,14194,96,67.63421163872059,FALSE
2020,OK,Creek,40037,71485,439,61.41148492690775,FALSE
2020,OK,Creek,40037,71485,439,61.41148492690775,TRUE
2020,OK,Custer,40039,28648,204,71.20915945266685,FALSE
2020,OK,Custer,40039,28648,204,71.20915945266685,TRUE
2020,OK,Delaware,40041,43136,314,72.79302670623146,FALSE
2020,OK,Delaware,40041,43136,314,72.79302670623146,TRUE
2020,OK,Dewey,40043,4815,24,49.844236760124616,TRUE
2020,OK,Dewey,40043,4815,24,49.844236760124616,FALSE
2020,OK,Ellis,40045,3830,20,52.21932114882507,TRUE
2020,OK,Ellis,40045,3830,20,52.21932114882507,FALSE
2020,OK,Garfield,40047,60869,442,72.61495999605711,FALSE
2020,OK,Garfield,40047,60869,442,72.61495999605711,TRUE
2020,OK,Garvin,40049,27691,174,62.836300603084034,FALSE
2020,OK,Garvin,40049,27691,174,62.836300603084034,TRUE
2020,OK,Grady,40051,55906,298,53.303759882660174,FALSE
2020,OK,Grady,40051,55906,298,53.303759882660174,TRUE
2020,OK,Grant,40053,4372,35,80.05489478499543,TRUE
2020,OK,Grant,40053,4372,35,80.05489478499543,FALSE
2020,OK,Greer,40055,5704,31,54.34782608695652,TRUE
2020,OK,Greer,40055,5704,31,54.34782608695652,FALSE
2020,OK,Harmon,40057,2557,23,89.9491591709034,TRUE
2020,OK,Harmon,40057,2557,23,89.9491591709034,FALSE
2020,OK,Harper,40059,3611,20,55.38631957906397,TRUE
2020,OK,Haskell,40061,12652,68,53.74644325007904,FALSE
2020,OK,Haskell,40061,12652,68,53.74644325007904,TRUE
2020,OK,Hughes,40063,13126,94,71.6135913454213,FALSE
2020,OK,Hughes,40063,13126,94,71.6135913454213,TRUE
2020,OK,Jackson,40065,24305,145,59.65850648014812,FALSE
2020,OK,Jackson,40065,24305,145,59.65850648014812,TRUE
