year,state,county,county_code,county_population,annual_adj_deaths,annual_crude_rate_10k
2020,OK,Coal,40029,5587,56,100.23268301413997
2020,OK,Comanche,40031,121099,609,50.28943261298607
2020,OK,Cotton,40033,5676,60,105.70824524312897
2020,OK,Craig,40035,14194,112,78.90658024517403
2020,OK,Creek,40037,71485,463,64.76883262222844
2020,OK,Custer,40039,28648,220,76.79419156660151
2020,OK,Delaware,40041,43136,334,77.42952522255193
2020,OK,Dewey,40043,4815,40,83.07372793354102
2020,OK,Ellis,40045,3830,32,83.5509138381201
2020,OK,Garfield,40047,60869,454,74.58640687377812
2020,OK,Garvin,40049,27691,194,70.05886389079484
2020,OK,Grady,40051,55906,318,56.88119343183201
2020,OK,Grant,40053,4372,47,107.50228728270814
2020,OK,Greer,40055,5704,55,96.4235624123422
2020,OK,Harmon,40057,2557,31,121.23582323034806
2020,OK,Harper,40059,3611,32,88.61811132650236
2020,OK,Haskell,40061,12652,88,69.55422067657287
2020,OK,Hughes,40063,13126,118,89.89791253999695
2020,OK,Jackson,40065,24305,165,67.8872659946513
2020,OK,Jefferson,40067,5949,51,85.72869389813414
2020,OK,Johnston,40069,10824,69,63.74722838137472
2020,OK,Kay,40071,43274,378,87.35037204788094
2020,OK,Kingfisher,40073,15806,108,68.32848285461218
2020,OK,Kiowa,40075,8741,112,128.13179270106394
2020,OK,Latimer,40077,10132,53,52.309514409790765
2020,OK,Le Flore,40079,49935,407,81.5059577450686
2020,OK,Lincoln,40081,35045,220,62.77643030389499
2020,OK,Logan,40083,48777,236,48.38345941734834
2020,OK,Love,40085,10230,84,82.11143695014663
2020,OK,McClain,40087,41348,217,52.48137757569895
2020,OK,McCurtain,40089,32772,247,75.36921762480166
2020,OK,McIntosh,40091,19635,176,89.63585434173669
2020,OK,Major,40093,7579,68,89.72159915556142
2020,OK,Marshall,40095,17114,150,87.64754002570996
2020,OK,Mayes,40097,41152,253,61.4793934681182
2020,OK,Murray,40099,13955,142,101.75564313865998
2020,OK,Muskogee,40101,67610,643,95.10427451560419
2020,OK,Noble,40103,11113,94,84.58562044452442
2020,OK,Nowata,40105,10076,74,73.44184200079397
2020,OK,Okfuskee,40107,11765,122,103.69740756481089
2020,OK,Oklahoma,40109,804041,4639,57.69606276296855
2020,OK,Okmulgee,40111,38234,303,79.2488361144531
2020,OK,Osage,40113,46642,254,54.45735603104498
2020,OK,Ottawa,40115,30879,227,73.51274328831892
2020,OK,Pawnee,40117,16381,126,76.91838105121788
2020,OK,Payne,40119,81755,356,43.54473732493425
2020,OK,Pittsburg,40121,43679,329,75.32223723070582
2020,OK,Pontotoc,40123,38397,237,61.72357215407454
2020,OK,Pottawatomie,40125,72998,509,69.72793775171922
2020,OK,Pushmataha,40127,10970,109,99.36189608021877
2020,OK,Roger Mills,40129,3570,33,92.43697478991596
2020,OK,Rogers,40131,93155,535,57.43116311523804
2020,OK,Seminole,40133,24248,208,85.78027053777632
2020,OK,Sequoyah,40135,41538,353,84.98242573065626
2020,OK,Stephens,40137,43100,346,80.2784222737819
2020,OK,Texas,40139,19997,115,57.50862629394409
2020,OK,Tillman,40141,7229,66,91.29893484576013
2020,OK,Tulsa,40143,657589,3846,58.48637979041621
2020,OK,Wagoner,40145,82925,383,46.186312933373536
2020,OK,Washington,40147,52222,387,74.10669832637585
2020,OK,Washita,40149,10830,100,92.33610341643583
2020,OK,Woods,40151,8687,71,81.73132266605272
2020,OK,Woodward,40153,19812,162,81.7686250757117
2021,OK,Adair,40001,19414,168,86.53548985268363
2021,OK,Alfalfa,40003,5710,25,43.78283712784589
2021,OK,Atoka,40005,14324,107,74.69980452387601
