Notes,County,County Code,Deaths,Population,Crude Rate
,"Sutton County, TX",48435,49,3738,1310.9
,"Swisher County, TX",48437,117,7340,1594
,"Tarrant County, TX",48439,16418,2123347,773.2
,"Taylor County, TX",48441,1636,139200,1175.3
,"Terrell County, TX",48443,14,702,Unreliable
,"Terry County, TX",48445,175,12183,1436.4
,"Throckmorton County, TX",48447,17,1487,Unreliable
,"Titus County, TX",48449,346,32926,1050.8
,"Tom Green County, TX",48451,1439,120010,1199.1
,"Travis County, TX",48453,6989,1300503,537.4
,"Trinity County, TX",48455,255,14883,1713.4
,"Tyler County, TX",48457,322,21591,1491.4
,"Upshur County, TX",48459,557,42166,1321
,"Upton County, TX",48461,44,3623,1214.5
,"Uvalde County, TX",48463,328,26742,1226.5
,"Val Verde County, TX",48465,571,49028,1164.6
,"Van Zandt County, TX",48467,838,57533,1456.6
,"Victoria County, TX",48469,1040,91936,1131.2
,"Walker County, TX",48471,673,72164,932.6
,"Waller County, TX",48473,459,57452,798.9
,"Ward County, TX",48475,135,12097,1116
,"Washington County, TX",48477,479,35771,1339.1
,"Webb County, TX",48479,2186,277681,787.2
,"Wharton County, TX",48481,538,41685,1290.6
,"Wheeler County, TX",48483,75,4946,1516.4
,"Wichita County, TX",48485,1641,133205,1231.9
,"Wilbarger County, TX",48487,210,12552,1673
,"Willacy County, TX",48489,254,21161,1200.3
,"Williamson County, TX",48491,3691,617855,597.4
,"Wilson County, TX",48493,459,52023,882.3
,"Winkler County, TX",48495,89,7887,1128.4
,"Wise County, TX",48497,785,71084,1104.3
,"Wood County, TX",48499,754,46291,1628.8
,"Yoakum County, TX",48501,96,8702,1103.2
,"Young County, TX",48503,333,17904,1859.9
,"Zapata County, TX",48505,127,14172,896.1
,"Zavala County, TX",48507,156,11840,1317.6
Total,,,250339,29360759,852.6
---,,,,,
"Dataset: Underlying Cause of Death, 2018-2021, Single Race",,,,,
Query Parameters:,,,,,
States: Texas (48),,,,,
Year/Month: 2020,,,,,
Group By: County,,,,,
Show Totals: True,,,,,
Show Zero Values: True,,,,,
Show Suppressed: True,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,,,,
---,,,,,
"Query Date: Jun 8, 2023 2:27:40 PM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,",,,,,
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,,,
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Jun 8, 2023 2:27:40 PM",,,,,
---,,,,,
Caveats:,,,,,
1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality.,,,,,
2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:,,,,,
