Notes,County,County Code,Deaths,Population,Crude Rate
,"Maverick County, TX",48323,690,58378,1181.952105245
,"Medina County, TX",48325,522,52358,996.982314069
,"Menard County, TX",48327,41,2124,1930.320150659
,"Midland County, TX",48329,1317,177863,740.457543165
,"Milam County, TX",48331,308,24708,1246.559818682
,"Mills County, TX",48333,78,4840,1611.570247934
,"Mitchell County, TX",48335,92,8202,1121.6776396
,"Montague County, TX",48337,375,19962,1878.569281635
,"Montgomery County, TX",48339,4688,626351,748.462124272
,"Moore County, TX",48341,197,20654,953.810399922
,"Morris County, TX",48343,196,12393,1581.53796498
,"Motley County, TX",48345,23,1185,1940.928270042
,"Nacogdoches County, TX",48347,760,64753,1173.690794249
,"Navarro County, TX",48349,635,50694,1252.613721545
,"Newton County, TX",48351,214,13414,1595.34814373
,"Nolan County, TX",48353,229,14835,1543.64678126
,"Nueces County, TX",48355,3792,363148,1044.202363775
,"Ochiltree County, TX",48357,107,9598,1114.81558658
,"Oldham County, TX",48359,20,2135,936.768149883
,"Orange County, TX",48361,1153,82878,1391.201525133
,"Palo Pinto County, TX",48363,457,29320,1558.663028649
,"Panola County, TX",48365,391,23187,1686.289731315
,"Parker County, TX",48367,1424,148198,960.876665002
,"Parmer County, TX",48369,121,9522,1270.741440874
,"Pecos County, TX",48371,194,15718,1234.253721848
,"Polk County, TX",48373,837,52995,1579.394282479
,"Potter County, TX",48375,1645,116004,1418.054549843
,"Presidio County, TX",48377,66,6508,1014.136447449
,"Rains County, TX",48379,193,12552,1537.603569152
,"Randall County, TX",48381,1407,139899,1005.725559153
,"Reagan County, TX",48383,34,3833,887.0336551
,"Real County, TX",48385,73,3411,2140.134857813
,"Red River County, TX",48387,256,11995,2134.222592747
,"Reeves County, TX",48389,150,15949,940.497836855
,"Refugio County, TX",48391,110,6877,1599.53468082
,"Roberts County, TX",48393,13,813,Unreliable
,"Robertson County, TX",48395,235,17155,1369.863013699
,"Rockwall County, TX",48397,753,109888,685.243156669
,"Runnels County, TX",48399,163,10401,1567.157004134
,"Rusk County, TX",48401,684,54324,1259.111994698
,"Sabine County, TX",48403,194,10507,1846.388122204
,"San Augustine County, TX",48405,174,8248,2109.602327837
,"San Jacinto County, TX",48407,379,29301,1293.471212587
,"San Patricio County, TX",48409,770,67069,1148.071389166
,"San Saba County, TX",48411,100,6039,1655.903295248
,"Schleicher County, TX",48413,28,2761,1014.125316914
,"Scurry County, TX",48415,223,16662,1338.374744929
,"Shackelford County, TX",48417,51,3300,1545.454545455
,"Shelby County, TX",48419,336,24915,1348.585189645
,"Sherman County, TX",48421,29,3027,958.044268252
,"Smith County, TX",48423,2736,235806,1160.275819954
,"Somervell County, TX",48425,113,9139,1236.459131196
,"Starr County, TX",48427,721,64266,1121.899604768
,"Stephens County, TX",48429,144,9334,1542.746946647
,"Sterling County, TX",48431,14,1315,Unreliable
,"Stonewall County, TX",48433,28,1348,2077.151335312
,"Sutton County, TX",48435,49,3738,1310.861423221
,"Swisher County, TX",48437,117,7340,1594.005449591
,"Tarrant County, TX",48439,16418,2123347,773.213233635
,"Taylor County, TX",48441,1636,139200,1175.287356322
,"Terrell County, TX",48443,14,702,Unreliable
,"Terry County, TX",48445,175,12183,1436.427809242
,"Throckmorton County, TX",48447,17,1487,Unreliable
,"Titus County, TX",48449,346,32926,1050.841280447
,"Tom Green County, TX",48451,1439,120010,1199.066744438
,"Travis County, TX",48453,6989,1300503,537.407449272
,"Trinity County, TX",48455,255,14883,1713.36424108
,"Tyler County, TX",48457,322,21591,1491.362141633
,"Upshur County, TX",48459,557,42166,1320.969501494
,"Upton County, TX",48461,44,3623,1214.463152084
,"Uvalde County, TX",48463,328,26742,1226.535038516
,"Val Verde County, TX",48465,571,49028,1164.640613527
,"Van Zandt County, TX",48467,838,57533,1456.555368223
,"Victoria County, TX",48469,1040,91936,1131.221719457
,"Walker County, TX",48471,673,72164,932.597971288
,"Waller County, TX",48473,459,57452,798.927800599
,"Ward County, TX",48475,135,12097,1115.979168389
,"Washington County, TX",48477,479,35771,1339.073551201
,"Webb County, TX",48479,2186,277681,787.234272421
,"Wharton County, TX",48481,538,41685,1290.632121866
,"Wheeler County, TX",48483,75,4946,1516.376870198
,"Wichita County, TX",48485,1641,133205,1231.935738148
,"Wilbarger County, TX",48487,210,12552,1673.040152964
,"Willacy County, TX",48489,254,21161,1200.321345872
,"Williamson County, TX",48491,3691,617855,597.389355108
,"Wilson County, TX",48493,459,52023,882.302058705
,"Winkler County, TX",48495,89,7887,1128.439203753
,"Wise County, TX",48497,785,71084,1104.327274773
,"Wood County, TX",48499,754,46291,1628.826337733
,"Yoakum County, TX",48501,96,8702,1103.194667892
,"Young County, TX",48503,333,17904,1859.919571046
,"Zapata County, TX",48505,127,14172,896.133220435
,"Zavala County, TX",48507,156,11840,1317.567567568
Total,,,250339,29360759,852.63122796
---,,,,,
"Dataset: Underlying Cause of Death, 2018-2021, Single Race",,,,,
Query Parameters:,,,,,
States: Texas (48),,,,,
Year/Month: 2020,,,,,
Group By: County,,,,,
Show Totals: True,,,,,
Show Zero Values: True,,,,,
Show Suppressed: True,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,,,,
---,,,,,
"Query Date: Jun 17, 2023 1:47:57 PM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,",,,,,
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,,,
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Jun 17, 2023 1:47:57 PM",,,,,
---,,,,,
Caveats:,,,,,
1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality.,,,,,
2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable.,,,,,
"3. The population figures for year 2021 are single-race estimates of the July 1 resident population, from the Vintage 2021",,,,,
"postcensal series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates",,,,,
"of the July 1 resident population, from the Vintage 2020 postcensal series released by the Census Bureau on July 27, 2021. The",,,,,
"population figures for year 2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal",,,,,
"series released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the",,,,,
"July 1 resident population, from the Vintage 2018 postcensal series released by the Census Bureau on June 20, 2019.",,,,,
4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age,,,,,
Group.,,,,,
